rank,name,name_ascii,institution,country,arxiv_rank,openalex_rank,zbmath_rank,arxiv_papers,openalex_works,openalex_citations,zbmath_papers,overall_h_index,h_index_source,first_active_year,last_active_year,birth_year,doctoral_advisor,orcid,wikidata_id
1,Igor E. Shparlinski,Igor E. Shparlinski,UNSW Sydney,AU,3,5,23,19,8,28,,42,openalex,2000,2015,,,,
2,János Pintz,Janos Pintz,Alfréd Rényi Institute of Mathematics,HU,14,,2,11,1,1,,,,1985,1985,,,,
3,"Luca, Florian","Luca, Florian",Stellenbosch University,ZA,,,3,2,,,,,,2002,2019,,,,
4,"Harman, G.","Harman, G.",Royal Holloway University of London,GB,,,5,,1,8,,,,1991,1991,,,,
5,"Heath-Brown, D. R.","Heath-Brown, D. R.",University of Oxford,GB,,,6,,,,,,,1978,2018,,,,
6,XingMing Lⅰu,XingMing Liu,Lanzhou University of Technology,CN,,3,,,12,10,,,,2026,2026,,,,
7,"Pomerance, Carl","Pomerance, Carl",Dartmouth College,US,,,7,2,1,46,,,,1992,1992,,,,
8,"Friedlander, J. B.","Friedlander, J. B.",University of Toronto,CA,,,8,1,,,,,,2009,2009,,,,
9,Daniel A. Goldston,Daniel A. Goldston,San Jose State University,US,31,,4,7,,,,,,1990,2023,,,,
10,"Iwaniec, H.","Iwaniec, H.",Polish Academy of Sciences,PL,,,9,,1,60,,,,1975,2010,,,,
11,"Tenenbaum, Gérald","Tenenbaum, Gerald",Institut Élie Cartan de Lorraine,FR,,,10,1,,,,,,2006,2023,,,,
12,Jiexing Li,Jiexing Li,China University of Mining and Technology (Beijing),CN,,8,16,1,6,166,,,,2023,2023,,,,
13,"Cai, Yingchun","Cai, Yingchun",Jiangsu Academy of Agricultural Sciences,CN,,,11,,,,,,,1989,2022,,,,
14,Kaisa Matomäki,Kaisa Matomaki,University of Turku,FI,2,,32,17,1,2,,,,2020,2020,,,,
15,"Murty, M. Ram","Murty, M. Ram",Queen's University,CA,,,13,1,,,,,,2010,2010,,,,
16,"Suryanarayana, D.","Suryanarayana, D.",,,,,15,,,,,,,,,,,,
17,James Maynard,James Maynard,University of Oxford,GB,13,,18,8,,,,11,openalex,2012,2025,,,,
18,Terence Tao,Terence Tao,"University of California, Los Angeles",US,9,,31,12,,,,101,openalex,2025,2025,,,,
19,Yongjie Li,Yongjie Li,Electric Power Research Institute,US,,9,,,6,95,,,,2015,2015,,,,
20,Maksym Radziwiłł,Maksym Radziwill,Northwestern University,US,4,,,15,,,,17,openalex,2023,2023,,,,
21,Jie Wu,Jie Wu,Hunan Agricultural Products (China),CN,41,,14,4,,,,21,openalex,2022,2022,,,,
22,Jiseong Kim,Jiseong Kim,Sogang University,KR,28,11,,6,6,52,,20,openalex,2011,2011,,,,
23,Ruqing Chen,Ruqing Chen,National Cheng Kung University,TW,,10,,,6,69,,3,openalex,1994,1994,,,,
24,Roger Baker,Roger Baker,Brigham Young University,US,79,,12,3,1,2,,34,openalex,2017,2017,,,,
25,yue zhang,yue zhang,University of New Hampshire,US,,13,,,6,11,,,,2009,2026,,,,
26,Moubariz Z. Garaev,Moubariz Z. Garaev,Universidad Nacional Autónoma de México,MX,15,,,7,,,,12,openalex,2004,2024,,,,
27,Frank Morales,Frank Morales,Machine Science,US,,14,,,6,0,,,,2026,2026,,,,
28,Paul Pollack,Paul Pollack,University of Georgia,US,20,,22,6,1,2,,13,openalex,2024,2024,,,,
29,Ofir Gorodetsky,Ofir Gorodetsky,Technion - Israel Institute of Technology,IL,12,,,7,,,,5,openalex,2018,2024,,,,
30,"Katai, I.","Katai, I.",Université Laval,CA,,,20,,,,,,,2007,2021,,,,
